DATA STOCK OPNAME,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
DEPARTMEN : PACKAGING (FINISH GOOD),,,,,,,,,
2025-11-30 00:00:00,,,,,,,,,
NO,CUSTOMER,KODE SISTEM,Partner,NAMA,STOCK,HARGA JUAL,TOTAL Rp.,SUM,KODE IPOS
102,PT. KARYA BUMIMAS PERSADA,FG-KBP-00009,,BOX KLOSET JONGKOK ISI 3 (BBP-BOX-MX),1100,29925,32917500,,KRT00021
103,PT. KARYA BUMIMAS PERSADA,FG-KBP-00010,,BOX KLOSET DUDUK SIRAM (BBP-BOX-DS),90,23060,2075400,,KRT01966
104,PT. KAWASAKI MOTOR INDONESIA,FG-KMI-00013,PT. KAWASAKI MOTOR INDONESIA,BIG CARTON BOX LX230,70,53750,3762500,3762500,KRT02657
105,PT. KAWASAKI MOTOR INDONESIA,FG-KMI-00020,PT. KAWASAKI MOTOR INDONESIA,CARTON BOX K-79 (BROWN) (K8120-0058),440,5800,2552000,181719320,KRT02656
106,PT. KAWASAKI MOTOR INDONESIA,FG-KMI-00022,,CARTON BOX A-20 (NEW LOGO) (K3110-0070),500,4855,2427500,,KRT02655
107,PT. KAWASAKI MOTOR INDONESIA,FG-KMI-00024,,CARTON BOX A-25 (NEW LOGO) (K3110-0069),1500,2083,3124500,,KRT02660
108,PT. KAWASAKI MOTOR INDONESIA,FG-KMI-00026,,CARTON BOX A-30 (NEW LOGO) (K3110-0068),880,3901,3432880,,KRT02658
109,PT. KAWASAKI MOTOR INDONESIA,FG-KMI-00028,,CARTON BOX A-56 (NEW LOGO) (K3110-0066),800,7120,5696000,,KRT00169
110,PT. KAWASAKI MOTOR INDONESIA,FG-KMI-00029,,CARTON BOX A-87 (NEW LOGO) (K3110-0064),580,7385,4283300,,KRT00170
111,PT. KAWASAKI MOTOR INDONESIA,FG-KMI-00030,,CARTON BOX CB 22-A (K3110-0001),380,15726,5975880,,KRT00172
112,PT. KAWASAKI MOTOR INDONESIA,FG-KMI-00031,,CARTON BOX CB 22-B (K3110-0003),950,14401,13680950,,KRT00174
113,PT. KAWASAKI MOTOR INDONESIA,FG-KMI-00032,,CARTON BOX CB 23-B (K3110-0005),730,8179,5970670,,KRT00175
114,PT. KAWASAKI MOTOR INDONESIA,FG-KMI-00034,,CARTON BOX CB 24-E (K3110-0012),150,3734,560100,,KRT00177
115,PT. KAWASAKI MOTOR INDONESIA,FG-KMI-00035,,CARTON BOX CB 25-D (K3110-0011),500,2222,1111000,,KRT00179
116,PT. KAWASAKI MOTOR INDONESIA,FG-KMI-00037,,CARTON BOX CB 32-B (K3110-0004),770,9512,7324240,,KRT00180
117,PT. KAWASAKI MOTOR INDONESIA,FG-KMI-00039,,CARTON BOX CB 34-D (K3110-0009),110,6489,713790,,KRT00392
118,PT. KAWASAKI MOTOR INDONESIA,FG-KMI-00040,,CARTON BOX CB 35-D (K3110-0010),590,3520,2076800,,KRT00217
119,PT. KAWASAKI MOTOR INDONESIA,FG-KMI-00044,,LAYER UK 1065X530X5 (K3140-0019),3900,7255,28294500,,KRT00435
120,PT. KAWASAKI MOTOR INDONESIA,FG-KMI-00048,,MASTERBOX M-04 COMMUNICATION SYMBOL (K3110-0060),300,54949,16484700,,KRT00355
121,PT. KAWASAKI MOTOR INDONESIA,FG-KMI-00049,,MASTERBOX Z-02 COMMUNICATION SYMBOL (K3110-0062),100,83504,8350400,,KRT00356
122,PT. KAWASAKI MOTOR INDONESIA,FG-KMI-00058,,LAYER 1060X1060X7 (K3140-0043),1760,21711,38211360,,KRT04026
123,PT. KAWASAKI MOTOR INDONESIA,FG-KMI-00071,,LAYER 1060 X 640 X 7 (K3140-0045),1710,10469,17901990,,KRT04024
124,PT. KAWASAKI MOTOR INDONESIA,FG-KMI-00074,,BIG CARTON BOX LX140C (NEW COM.SYMBOL) PACKING K3120-0032,140,46909,6567260,,KRT03852
125,PT. KAWASAKI MOTOR INDONESIA,FG-KMI-00078,,BIG CARTON BOX LX140B JAPAN PACKING (K3120-0038),99,70500,6979500,,KRT04177
126,PT. MAJU TEKNIK UTAMA,FG-MTU-00003,PT. MAJU TEKNIK UTAMA,PARTISI BOX VALVE 3KG,1600,400,640000,640000,
127,PT. MEIHOKU INDUSTRY INDONESIA,FG-MEIH-00005,PT. MEIHOKU INDUSTRY INDONESIA,K125/M125/K125 C/F BROWN 530 x 350 x 150 MM CARTON BOX,300,13750,4125000,11271000,KRT01733
128,PT. MEIHOKU INDUSTRY INDONESIA,FG-MEIH-00015,,K125/M125X4 CB/F BROWN 450TX550X1100,300,23820,7146000,,KRT02149
129,PT. MIKASA MITRA MULIA,FG-MMM-00001,PT. MIKASA MITRA MULIA,JUNGLE BOX TIPE M,44,99500,4378000,16086400,KRT01466
130,PT. MIKASA MITRA MULIA,FG-MMM-00002,,JUNGLE BOX TIPE S,132,88700,11708400,,KRT03547
