Nama Cust,Tanggal,No PO,No Inv,No.,Kode Item,Nama Item,Jml,Satuan,Harga, Pot.  , Total , PPN , Total Akhir ,No FP,Ket
PT. DAE HWA INDONESIA,2/3/2026 10:11,TLJP/26-0005,0435/JL/CKRG/0226,2,KRT01390,PAPER ANGEL 50X50X10X1000,50.00,EA,"15,500.00",0,"775,000.00"," 85,250.00 "," 860,250.00 ",04002600025426681,PO : TLJP/26-0005 DO : DLV-2602033785
PT. DAE HWA INDONESIA,2/3/2026 10:11,TLJP/26-0005,0435/JL/CKRG/0226,3,KRT02983,PAPER ANGEL 50X50X10X1020,35.00,PCS,"15,700.00",0,"549,500.00"," 60,445.00 "," 609,945.00 ",04002600025426681,PO : TLJP/26-0005 DO : DLV-2602033785
PT. DAE HWA INDONESIA,2/3/2026 10:15,TLJ/26-0002,0436/JL/CKRG/0226,1,KRT00228,CARTON BOX DH 5 POLOS 820X450X680 MM K125/M125/K125 C/F,100.00,EA,"22,700.00",0,"2,270,000.00"," 249,700.00 "," 2,519,700.00 ",04002600025426668,PO : TLJ/26-0002 DO : DLV-2602033784
PT. DAE HWA INDONESIA,2/3/2026 10:18,TLJ/26-0006,0437/JL/CKRG/0226,1,KRT00189,CARTON BOX DFI 690X510X450 MM K125/M125X3/K125 CB/F,85.00,EA,"21,480.00",0,"1,825,800.00"," 200,838.00 "," 2,026,638.00 ",04002600025426676,PO : TLJ/26-0006 DO : DLV-2602033781
PT. DAE HWA INDONESIA,2/3/2026 10:23,TLJ/26-0004,0438/JL/CKRG/0226,1,KRT00193,CARTON BOX DH12 380X290X150 SINGLE,100.00,EA,"4,450.00",0,"445,000.00"," 48,950.00 "," 493,950.00 ",04002600025426687,PO : TLJ/26-0004 DO :  DLV-2602033782
PT. DAE HWA INDONESIA,2/3/2026 10:23,TLJ/26-0004,0438/JL/CKRG/0226,2,KRT02722,CARTON BOX DH8 POLOS 727X380X320MM K200/M125/K200 C/F,300.00,PCS,"12,800.00",0,"3,840,000.00"," 422,400.00 "," 4,262,400.00 ",04002600025426687,PO : TLJ/26-0004 DO :  DLV-2602033782
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PT. DAIWA SINERGI KARYATAMA,2/3/2026 15:20,024/TLJ/DSK/XII/25,0516/JL/CKRG/0226,1,KRT04951,PARTISI SENSOR K07A,70.00,PCS,"6,300.00",0,"441,000.00"," 48,510.00 "," 489,510.00 ",04002600028731789,PO : 024/TLJ/DSK/XII/25                DO : DLV-2602023766
PT. Essilorluxottica Professional Solutions Indonesia,2/3/2026 19:47,PO-000010316,0526/JL/CKRG/0226,1,KRT02787,DUS DISPATH COKLAT SEDANG 175X100X100MM (CSUCMMS003276),600.00,PCS,900.00,0,"540,000.00"," 59,400.00 "," 599,400.00 ",04002600032833751,PO : PO-000010316 DO : DLV-2602033790
PT. Essilorluxottica Professional Solutions Indonesia,2/3/2026 19:47,PO-000010316,0526/JL/CKRG/0226,2,KRT01608,BOX BULK POLOS TERTUTUP 8.8X49X18 CM (ISUPROIS00023),300.00,PCS,"3,400.00",0,"1,020,000.00"," 112,200.00 "," 1,132,200.00 ",04002600032833751,PO : PO-000010316 DO : DLV-2602033790
PT. Essilorluxottica Professional Solutions Indonesia,2/3/2026 20:08,PO-000006186,0527/JL/CKRG/0226,1,KRT01557,BOX BULK LOGO PACKING 40X50X40 (CSUCMMS002871),20.00,PCS,"14,900.00",0,"298,000.00"," 32,780.00 "," 330,780.00 ",04002600032833783,PO : PO-000006186 DO : DLV-2602033793
PT. Essilorluxottica Professional Solutions Indonesia,2/3/2026 20:09,PO-000002818,0528/JL/CKRG/0226,1,KRT02405,DUS DISPATH COKLAT BESAR 230 X 175 X 100 MM (CSUCMMS003443),300.00,PCS,"2,000.00",0,"600,000.00"," 66,000.00 "," 666,000.00 ",04002600032833787,PO : PO-000002818 DO : DLV-2602033792
PT. Essilorluxottica Professional Solutions Indonesia,2/3/2026 20:11,PO-000007818,0529/JL/CKRG/0226,1,KRT02788,DUS DISPATH COKLAT KECIL 175X100X72MM (CSUCMMS003275),"1,000.00",PCS,800.00,0,"800,000.00"," 88,000.00 "," 888,000.00 ",04002600032833761,PO : PO-000007818 DO : DLV-2602033791
PT. FUKOKU TOKAI RUBBER INDONESIA,2/3/2026 20:46,008-CM-B-0126,0533/JL/CKRG/0226,1,KRT02896,CARTON BOX (IND) 335X265X100MM,400.00,SHEET,"5,800.00",0,"2,320,000.00"," 255,200.00 "," 2,575,200.00 ",04002600032833769,PO : 008-CM-B-0126 DO : DLV-2602033789 DLV-2512183162 DLV-2601283683
PT. FUKOKU TOKAI RUBBER INDONESIA,2/3/2026 20:46,008-CM-B-0126,0533/JL/CKRG/0226,2,KRT01217,LAYER 1050X1050MM (K150/M125X3/K150 CBF),10.00,PCS,"12,300.00",0,"123,000.00"," 13,530.00 "," 136,530.00 ",04002600032833769,PO : 008-CM-B-0126 DO : DLV-2602033789 DLV-2512183162 DLV-2601283683
PT. FUKOKU TOKAI RUBBER INDONESIA,2/3/2026 20:46,008-CM-B-0126,0533/JL/CKRG/0226,3,KRT02897,CARTON BOX 011 SF 180X275X80MM,200.00,PCS,"1,900.00",0,"380,000.00"," 41,800.00 "," 421,800.00 ",04002600032833769,PO : 008-CM-B-0126 DO : DLV-2602033789 DLV-2512183162 DLV-2601283683
