Location From Description,Location From City,Location To Description,Location To City,Truck Type, Quoted Price 
PABRIK SERANG,SERANG,SURABAYA,SURABAYA,TRUCK BOX KECIL (5-6," Rp4,700,000.00 "
PABRIK SERANG,SERANG,BANDUNG,BANDUNG,TRUCK BOX CDE," Rp2,380,000.00 "
PABRIK SERANG,SERANG,BANDUNG,BANDUNG,TRUCK BOX KECIL (5-6," Rp2,637,000.00 "
PABRIK SERANG,SERANG,BEKASI,BEKASI,TRUCK BOX CDE," Rp1,718,000.00 "
PABRIK SERANG,SERANG,BEKASI,BEKASI,TRUCK BOX KECIL (5-6," Rp2,091,000.00 "
PABRIK SERANG,SERANG,KARAWANG,KARAWANG,TRUCK BOX CDE," Rp1,718,000.00 "
PABRIK SERANG,SERANG,KARAWANG,KARAWANG,TRUCK BOX KECIL (5-6," Rp2,091,000.00 "
PABRIK SERANG,SERANG,PURWAKARTA,PURWAKARTA,TRUCK BOX CDE," Rp1,822,000.00 "
PABRIK SERANG,SERANG,PURWAKARTA,PURWAKARTA,TRUCK BOX KECIL (5-6," Rp2,120,000.00 "
PABRIK SERANG,SERANG,REMBANG,REMBANG,TRUCK BOX KECIL (5-6," Rp4,350,000.00 "
PABRIK SERANG,SERANG,SIDOARJO,SIDOARJO,TRUCK BOX KECIL (5-6," Rp4,700,000.00 "
PABRIK SERANG,SERANG,TANGERANG,TANGERANG,TRUCK BOX CDE," Rp1,822,000.00 "
PABRIK SERANG,SERANG,TANGERANG,TANGERANG,TRUCK BOX KECIL (5-6," Rp2,120,000.00 "
PABRIK SERANG,SERANG,YOGYAKARTA,YOGYAKARTA,TRUCK BOX KECIL (5-6," Rp4,050,000.00 "
PABRIK SERANG,SERANG,BUMIREJO,"MARGOREJO, PATI",TRUCK BOX CDE," Rp3,200,000.00 "
PABRIK SERANG,SERANG,CIKANDE,SERANG,TRUCK BOX KECIL (5-6," Rp2,465,000.00 "
PABRIK SERANG,SERANG,CICALENGKA,BANDUNG,TRUCK BOX CDE," Rp2,380,000.00 "
PABRIK SERANG,SERANG,CICALENGKA,BANDUNG,TRUCK BOX KECIL (5-6," Rp2,637,000.00 "
PABRIK SERANG,SERANG,CITEUREUP,BOGOR,TRUCK BOX CDE," Rp1,822,000.00 "
PABRIK SERANG,SERANG,CITEUREUP,BOGOR,TRUCK BOX KECIL (5-6," Rp2,120,000.00 "
PABRIK SERANG,SERANG,GUNUNG SINDUR,BOGOR,TRUCK BOX KECIL (5-6," Rp2,120,000.00 "
PABRIK SERANG,SERANG,SLEMAN,SLEMAN,TRUCK BOX KECIL (5-6," Rp4,050,000.00 "
PABRIK SERANG,SERANG,SAYUNG,DEMAK,TRUCK BOX KECIL (5-6," Rp3,960,000.00 "
PABRIK SERANG,SERANG,CIAWI,BOGOR,TRUCK BOX CDE," Rp1,822,000.00 "
PABRIK SERANG,SERANG,CIAWI,BOGOR,TRUCK BOX KECIL (5-6," Rp2,120,000.00 "
PABRIK SERANG,SERANG,PABRIK WICA CIKARANG,CIKARANG,TRUCK BOX CDE," Rp1,718,000.00 "
PABRIK SERANG,SERANG,PABRIK WICA CIKARANG,CIKARANG,TRUCK BOX KECIL (5-6," Rp2,091,000.00 "
PABRIK SERANG,SERANG,GRESIK,GRESIK,TRUCK BOX KECIL (5-6," Rp4,700,000.00 "
PABRIK SERANG,SERANG,DEMAK,DEMAK,TRUCK BOX KECIL (5-6," Rp3,800,000.00 "
PABRIK SERANG,SERANG,SAYUNG,DEMAK,TRUCK BOX KECIL (5-6," Rp3,800,000.00 "
