Nama Cust,Tanggal,No PO,No Inv,No.,Kode Item,Nama Item,Jml,Satuan,Harga,Pot. ,Total,PPN,Total Akhir,No FP,Ket
PT. KAWATA INDONESIA,46031.4150810185,KIPO26010062,0100/JL/CKRG/0126,1,TRM0073,SUPER SEAL SIZE : 7MM X 3MM X 15M (15MTR/ROLL) PTFE JOINT SEALENT (NB356-1),5,ROL,269664,0,1348320,148315.2,1496635.2,04002600002888246,PO : KIPO26010062                      DO : 12291-090126
PT. KAWATA INDONESIA,46031.4150810185,KIPO26010062,0100/JL/CKRG/0126,2,TRM1089,STRAPPING BAND SIZE : 15MMW X 0.6MMT X 2.500MTR/ROLL (NB064),2,ROL,80000,0,160000,17600,177600,04002600002888246,PO : KIPO26010062                      DO : 12291-090126
PT. KAWATA INDONESIA,46031.4150810185,KIPO26010062,0100/JL/CKRG/0126,3,TRM0072,STEREO FOAM 3MM (NB233),1,ROL,641520,0,641520,70567.2,712087.2,04002600002888246,PO : KIPO26010062                      DO : 12291-090126
PT. KAWATA INDONESIA,46031.4150810185,KIPO26010062,0100/JL/CKRG/0126,4,TRM0051,METERAN 5M (NB467),1,PCS,55000,0,55000,6050,61050,04002600002888246,PO : KIPO26010062                      DO : 12291-090126
PT. KAWATA INDONESIA,46034.3747800926,KIPO26010022,0119/JL/CKRG/0126,1,TRM1213,TERMINAL LUG RING TYPE KSS R1.25-6 [100PCS./PACK] (SKUN RING POLOR FOR WIRE 0.50-1.50MM2) (NB144-1),1000,PCS,333,0,333000,36630,369630,04002600004085497,PO : KIPO26010022 DO : 12300-120126
PT. KAWATA INDONESIA,46034.3799768519,KIPO26010071,0120/JL/CKRG/0126,1,TRM0116,BOLT (BAUT L) M8XP1.25XL30MM (GALVANIZED) (NB407),300,PCS,1620,0,486000,53460,539460,04002600004085490,PO : KIPO26010071 DO : 12301-120126
PT. KAWATA INDONESIA,46034.3799768519,KIPO26010071,0120/JL/CKRG/0126,2,TRM0118,BOLT (BAUT L) M8XP1.25XL25MM (GALVANIZED) (NB031-1),500,PCS,2208,0,1104000,121440,1225440,04002600004085490,PO : KIPO26010071 DO : 12301-120126
PT. KAWATA INDONESIA,46034.3799768519,KIPO26010071,0120/JL/CKRG/0126,3,TRM0430,BOLT (BAUT L) M10XP1.5XL20MM (GALVANIZED) (HC088),500,PCS,3360,0,1680000,184800,1864800,04002600004085490,PO : KIPO26010071 DO : 12301-120126
PT. KAWATA INDONESIA,46034.3799768519,KIPO26010071,0120/JL/CKRG/0126,4,TRM0543,BOLT (BAUT HEXAGONAL) M6XP1.0XL15MM (GALVANIZED) (HA041),500,PCS,247,0,123500,13585,137085,04002600004085490,PO : KIPO26010071 DO : 12301-120126
PT. KAWATA INDONESIA,46034.3799768519,KIPO26010071,0120/JL/CKRG/0126,5,TRM1195,BOLT (BAUT HEXAGONAL) M10XP1.5XL25MM (GALVANIZED) (HA078),500,PCS,1750,0,875000,96250,971250,04002600004085490,PO : KIPO26010071 DO : 12301-120126
PT. KAWATA INDONESIA,46035.3698958333,KIPO26010080,0171/JL/CKRG/0126,1,TRM3027,TESPEN (NB109-1),3,PCS,12000,0,36000,3960,39960,04002600006045091,PO : KIPO26010080                       DO : 12304-130126
PT. KAWATA INDONESIA,46035.3910300926,KIPO26010086,0175/JL/CKRG/0126,1,TRM0020,"CASTER WHEEL NYLON (KASTOR RODA) 4"" W/O BRAKE (ODØ 101.6MM) SWIPEL FLANGE (SLOT 70MMX85MM Ø12) (CD037)",50,PCS,98746,0,4937300,543103,5480403,04002600006045173,PO : KIPO26010086                       DO : 12308-130126
PT. KAWATA INDONESIA,46035.3910300926,KIPO26010086,0175/JL/CKRG/0126,2,TRM0019,"CASTER WHEEL NYLON (KASTOR RODA) 4"" C/W BRAKE (ODØ 101.6MM) SWIPEL FLANGE (SLOT 70MMX85MM Ø12) (CD038)",50,PCS,131532,0,6576600,723426,7300026,04002600006045173,PO : KIPO26010086                       DO : 12308-130126
PT. KAWATA INDONESIA,46035.3910300926,KIPO26010086,0175/JL/CKRG/0126,3,TRM0073,SUPER SEAL SIZE : 7MM X 3MM X 15M (15MTR/ROLL) PTFE JOINT SEALENT (NB356-1),2,ROL,269664,0,539328,59326.08,598654.08,04002600006045173,PO : KIPO26010086                       DO : 12308-130126
