Nama Cust,Tanggal,No PO,No Inv,No.,Kode Item,Nama Item,Jml,Satuan,Harga,Pot. ,Total,PPN,Total Akhir,No FP,Ket
PT. FAKTA JABBAR INDUSTRI,46057.4942476852,FJI-2026/II/002/JB23,0594/JL/CKRG/0226,1,TRM4499,BOX ODP 16-CORE DOUBLE LOCK ( KOSONGAN ),30,PCS,200000,0,6000000,660000,6660000,04002600044139611,PO : FJI-2026/II/002/JB23DEL. NO : 12377-040226
PT. INDOSAFETY SENTOSA INDUSTRY,46057.4978703704,PO/IS720/260200484,0597/JL/CKRG/0226,1,"TRM4452 (2""x50M)",LAKBAN OKAMOTO,180,ROL,38410,0,6913800,760518,7674318,,PO : PO/IS720/260200484DEL. NO : 12370-040226
PT. INDOSAFETY SENTOSA INDUSTRY,46057.4978703704,PO/IS720/260200484,0597/JL/CKRG/0226,2,TRM4458 (45MM X 85Y),LAKBAN EKATAPE,60,ROL,10896,0,653760,71913.6,725673.6,,PO : PO/IS720/260200484DEL. NO : 12370-040226
PT. MENARA CIPTA METALINDO,46058.3240625,B-26/MCM/PPIC/035,0730/JL/CKRG/0226,1,TRM1204,"DEMPUL, SAN POLAC (COPRSU053N)",8,PAIL,209250,0,1674000,184140,1858140,04002600052421613,PO : B-26/MCM/PPIC/035              DO : 12380-050226
PT. KAWATA INDONESIA,46058.3744212963,KIPO26010263,0502/JL/CKRG/0226,1,TRM2158,CLAMP HOSE BAND (SILVER) Ø42 -  Ø48 (DOUBLE WIRE CLAMP) FOR PVC HOSE Ø38 /SILICONE HOSE  Ø43 (SUNTRAC) (NB060-1),200,PCS,6500,0,1300000,143000,1443000,04002600027744223,PO : KIPO26010263DEL. NO : 12379-050226-KIPO26010263
PT INTEGRASI MEDIKA PRIMA,46058.3826041667,PO-L-2026020000035,0503/JL/CKRG/0226,1,TRM3223,LAMPU DOWNLIGHT 15W,8,PCS,217500,0,1740000,191400,1931400,04002600027717184,PO : PO-L-2026020000035DEL. NO : 12379-050226
PT. KAWATA INDONESIA,46058.4111226852,KIPO26010223,0504/JL/CKRG/0226,1,TRM0131,CABLE NYAF Ø0.50MM2 (YELLOW) [100MTR/ROLL] (CC491-1),1000,MTR,1465,0,1465000,161150,1626150,04012600027744247,PO : KIPO26010223                       DO : 12001-050226-KIPO26010223
PT. KAWATA INDONESIA,46058.4111226852,KIPO26010223,0504/JL/CKRG/0226,2,TRM0012,CABLE NYAF Ø0.50MM2 (BLUE) [100MTR/ROLL] (CC481),1000,MTR,1465,0,1465000,161150,1626150,04012600027744247,PO : KIPO26010223                       DO : 12001-050226-KIPO26010223
PT. KAWATA INDONESIA,46058.4111226852,KIPO26010223,0504/JL/CKRG/0226,3,TRM1966,CABLE NYAF Ø6.00MM2 (WHITE) [100M/ROLL] (CC480),100,MTR,14260,0,1426000,156860,1582860,04012600027744247,PO : KIPO26010223                       DO : 12001-050226-KIPO26010223
PT. KAWATA INDONESIA,46058.4111226852,KIPO26010223,0504/JL/CKRG/0226,4,TRM0063,ROCK WOOL  Ø16 X  Ø26 (BESAR) (NB390),35,PCS,214600,0,7511000,826210,8337210,04012600027744247,PO : KIPO26010223                       DO : 12001-050226-KIPO26010223
"PT. SUPRAVISI RAMA OPTIK, MANUFACTURING",46058.5012384259,PO-000004183,0599/JL/CKRG/0226,1,TRM4484,IBC TANK / KEMPU 1000 LITER,1,UNIT,1560000,0,1560000,171600,1731600,04002600044538232,PO : PO-000004183DEL. NO : 12369-050226
PT. TRI SAUDARA SENTOSA INDUSTRI,46058.6281944444,PO2-2026/A/089/GEN,0614/JL/CKRG/0226,1,TRM4287,"POCKET KANBAN/LABEL (P28XL9.5CM, TEBAL 0.5MM)",500,PCS,3400,0,1700000,187000,1887000,04002600040675329,PO : PO2-2026/A/089/GEN DO : DLV-2602053847
PT. KAWATA INDONESIA,46059.3762962963,KIPO26010223,0519/JL/CKRG/0226,1,TRM0063,ROCK WOOL  Ø16 X  Ø26 (BESAR) (NB390),5,PCS,214600,0,1073000,118030,1191030,04002600029007021,PO : KIPO26010223                       DO : 12383-060226
PT. KAWATA INDONESIA,46059.3769791667,KIPO26020015,0518/JL/CKRG/0226,2,TRM1302,"PISAU POTONG CIRCLE GMT7"" (NB357)",3,PCS,76046,0,228138,25095.18,253233.18,04012600029007011,PO : KIPO26020015                       DO : 12382-060226
PT. KAWATA INDONESIA,46059.3769791667,KIPO26020015,0518/JL/CKRG/0226,3,TRM1529,PAKU RENG 4CM (NB464),2,KG,42750,0,85500,9405,94905,04012600029007011,PO : KIPO26020015                       DO : 12382-060226
PT. KAWATA INDONESIA,46059.3892708333,KIPO26020011,0520/JL/CKRG/0226,1,TRM3201,LEM PVC 45GR (ESURON) NO.73S (CP005),2,TUBE,171000,0,342000,37620,379620,04002600029007010,PO : KIPO26020011                       DO : 12385-060226
PT. TOYOTA BOSHOKU DEVICE INDONESIA,46059.498599537,PO26-059-1,0598/JL/CKRG/0226,1,TRM4492,HYDRAULIC CYLINDER CAP. 5 TON STROKE 232 MM TYPE RSC-,1,UNIT,8857800,0,8857800,974358,9832158,04002600041698801,PO : PO26-059-1DEL. NO : 12384-060226
PT. KAWATA INDONESIA,46062.3889467593,KIPO26010208,0556/JL/CKRG/0226,1,TRM0152,CABLE NYAF Ø2.50 MM2 (WHITE) (100MTR/ROLL) (CC476-1),100,MTR,5840,0,584000,64240,648240,04002600032441104,PO : KIPO26010208                       DO : 12387-090226
PT. KAWATA INDONESIA,46062.3890972222,KIPO26010243,0555/JL/CKRG/0226,1,TRM4496,CORRUGATED FLEXIBLE CONDUIT HITAM IDØ7.0MM/OD.12MM TYPE FCP-7 [100MTR./ROLL](NB117-1),100,MTR,1700,0,170000,18700,188700,04002600032441137,PO : KIPO26010243                       DO : 12386-090226
