LAPORAN PENJUALAN DETAIL PERIODE JANUARI 2026,,,,,,,,,,,,,,,
Data per 3 february 2026,,,,,,,,,,,,,,,
Nama Cust,Tanggal,No PO,No Inv,No.,Kode Item,Nama Item,Jml,Satuan,Harga, Pot.  ,Total, PPN , Total Akhir ,No FP,Ket
PT. KAWATA INDONESIA,1/6/2026 9:32,KIPO25110221,0033/JL/CKRG/0126,1,TRM0061,"REVOLVING WARNING LIGHT (RED) DV LTD-1101J MULTI VOLT 220VAC, 24VDC, 12VDC C/W BUZZER (RG141)",100.00,PCS,"91,500.00",0,"9,150,000.00"," 1,006,500.00 "," 10,156,500.00 ",04012600000970208,PO : KIPO25110221                       DO : 12269-060125
PT. KAWATA INDONESIA,1/6/2026 9:32,KIPO25110221,0033/JL/CKRG/0126,2,TRM0045,MAGNETIC (SENSOR) LEAD SWITCH SENSOR SNS CSI-U DC 12-24V 2 WIRE (DL030),100.00,PCS,"83,160.00",0,"8,316,000.00"," 914,760.00 "," 9,230,760.00 ",04012600000970208,PO : KIPO25110221                       DO : 12269-060125
PT. KAWATA INDONESIA,1/6/2026 9:32,KIPO25110221,0033/JL/CKRG/0126,3,TRM0232,TERMINAL BLOCK UPUN UTD 15 (RD207),300.00,PCS,"5,000.00",0,"1,500,000.00"," 165,000.00 "," 1,665,000.00 ",04012600000970208,PO : KIPO25110221                       DO : 12269-060125
PT. KAWATA INDONESIA,1/6/2026 9:32,KIPO25110221,0033/JL/CKRG/0126,4,TRM0231,TERMINAL BLOCK UPUN UTD 10 (RD201),"2,396.00",PCS,"3,564.00",0,"8,539,344.00"," 939,327.84 "," 9,478,671.84 ",04012600000970208,PO : KIPO25110221                       DO : 12269-060125
PT. KAWATA INDONESIA,1/6/2026 9:32,KIPO25120095,0031/JL/CKRG/0126,1,TRM0237,"TOWER LIGHT LED (Q-LIGHT) QTG50 LF-BZ 2-2 220-AC220V RA (RED, AMBER) BRACKET TYPE QZ18 C/W BUZZER (RG084)",1.00,PCS,"1,583,175.00",0,"1,583,175.00"," 174,149.25 "," 1,757,324.25 ",04002600000970206,PO : KIPO25120095                      DO : 12268-060125
PT. KAWATA INDONESIA,1/6/2026 9:38,KIPO25100071,0035/JL/CKRG/0126,1,TRM0057,PLYWOOD (KAYU TRIPLEK) L=240 W=120 T=9MM (NB019),323.00,LBR,"113,850.00"," 1,362,891.00 ","36,773,550.00"," 4,045,090.50 "," 40,818,640.50 ",04012600000970211,PO : KIPO25100071                      DO : 12271-060125
PT. KAWATA INDONESIA,1/6/2026 9:38,KIPO25100071,0035/JL/CKRG/0126,2,TRM0340,WAINSCOT (KAYU LIST) L=250 W=7 T=2 (NB018),836.00,BTG,"12,500.00",,"10,450,000.00"," 1,149,500.00 "," 11,599,500.00 ",04012600000970211,PO : KIPO25100071                      DO : 12271-060125
PT. KAWATA INDONESIA,1/6/2026 9:38,KIPO25100071,0035/JL/CKRG/0126,3,TRM0004,BEAMWOOD (KAYU BALOK) L=150 W=8 T=5 (NB017),960.00,BTG,"12,500.00",,"12,000,000.00"," 1,320,000.00 "," 13,320,000.00 ",04012600000970211,PO : KIPO25100071                      DO : 12271-060125
PT. KAWATA INDONESIA,1/6/2026 9:38,KIPO25100071,0035/JL/CKRG/0126,4,TRM0005,BEAMWOOD (KAYU BALOK) L=200 X W=8 X T=5 (NB1343),154.00,BTG,"24,000.00",,"3,696,000.00"," 406,560.00 "," 4,102,560.00 ",04012600000970211,PO : KIPO25100071                      DO : 12271-060125
PT. KAWATA INDONESIA,1/6/2026 9:56,KIPO25120147,0036/JL/CKRG/0126,1,TRM0667,PNEUMATIC VIBRATORS VIBTEC GT-10 (NB050),2.00,PCS,"908,200.00",0,"1,816,400.00"," 199,804.00 "," 2,016,204.00 ",04002600000970201,PO : KIPO25120147                      DO : 12267-060125
PT. KAWATA INDONESIA,1/6/2026 9:56,KIPO25120147,0036/JL/CKRG/0126,2,TRM0667,PNEUMATIC VIBRATORS VIBTEC GT-10 (NB050),2.00,PCS,"908,200.00",0,"1,816,400.00"," 199,804.00 "," 2,016,204.00 ",04002600000970201,PO : KIPO25120147                      DO : 12267-060125
PT. KAWATA INDONESIA,1/6/2026 9:57,KIPO25120209,0037/JL/CKRG/0126,1,TRM0065,RTV MULTI PERPOSE SEALENT DOW CORNING 732 CLEAR 300ML (ANB026),12.00,TUBE,"150,000.00",0,"1,800,000.00"," 198,000.00 "," 1,998,000.00 ",04002600000970205,PO : KIPO25120209                      DO : 12264-060125
PT. KAWATA INDONESIA,1/7/2026 9:36,KIPO26010013,0044/JL/CKRG/0126,1,TRM0012,CABLE NYAF Ø0.50MM2 (BLUE) [100MTR/ROLL] (CC481),"1,000.00",MTR,"1,465.00",0,"1,465,000.00"," 161,150.00 "," 1,626,150.00 ",04002600001555965,PO : KIPO26010013                       DO : 12276-070125
PT. KAWATA INDONESIA,1/7/2026 9:36,KIPO26010013,0044/JL/CKRG/0126,2,TRM0134,CABLE NYAF Ø1.50MM2 (WHITE) [100MTR/ROLL] (CC474-1),500.00,MTR,"3,146.00",0,"1,573,000.00"," 173,030.00 "," 1,746,030.00 ",04002600001555965,PO : KIPO26010013                       DO : 12276-070125
PT. KAWATA INDONESIA,1/7/2026 9:38,KIPO26010043,0046/JL/CKRG/0126,1,TRM0019,"CASTER WHEEL NYLON (KASTOR RODA) 4"" C/W BRAKE (ODØ 101.6MM) SWIPEL FLANGE (SLOT 70MMX85MM Ø12) (CD038)",100.00,PCS,"131,532.00",0,"13,153,200.00"," 1,446,852.00 "," 14,600,052.00 ",04002600001555964,PO : KIPO26010043                       DO : 12277-070125
PT. KAWATA INDONESIA,1/7/2026 9:38,KIPO26010043,0046/JL/CKRG/0126,2,TRM0020,"CASTER WHEEL NYLON (KASTOR RODA) 4"" W/O BRAKE (ODØ 101.6MM) SWIPEL FLANGE (SLOT 70MMX85MM Ø12) (CD037)",100.00,PCS,"98,746.00",0,"9,874,600.00"," 1,086,206.00 "," 10,960,806.00 ",04002600001555964,PO : KIPO26010043                       DO : 12277-070125
PT. KAWATA INDONESIA,1/7/2026 10:26,KIPO26010022,0047/JL/CKRG/0126,1,TRM0036,INK RIBBON (BLACK) LETATWIN LM-1R300B (5PCS/BOX) FOR LETATWIN LM-370A (NB304-1),50.00,PCS,"113,850.00",0,"5,692,500.00"," 626,175.00 "," 6,318,675.00 ",04012600001555976,PO : KIPO26010022                       DO : 12275-070125
